A,BSL,T,TOTAL,PER,LU	645397 	662537 	687081 	740420 	788408 	830737 	866782 	897072 	922195 	943353 	960940 	974490 	984031 	989942 	992914 	994344 	995609 	997267 
A,BSL,T,TOTAL,PER,LV	1875757 	1894146 	1863089 	1756334 	1660761 	1586936 	1523373 	1466019 	1411313 	1356948 	1304642 	1260499 	1225991 	1198921 	1180343 	1169517 	1165965 	1165838 
A,BSL,T,TOTAL,PER,MT	520971 	532640 	553623 	604727 	649012 	686011 	717332 	744353 	767977 	788211 	802973 	810646 	811265 	805749 	795592 	783009 	770573 	759097 
A,BSL,T,TOTAL,PER,NL	17590672 	17823388 	18048588 	18341701 	18564556 	18710299 	18757547 	18743896 	18707257 	18689242 	18704517 	18745716 	18762166 	18727710 	18641039 	18527577 	18413362 	18310405 
A,BSL,T,TOTAL,PER,NO	5425270 	5467532 	5508635 	5663302 	5823251 	5973143 	6105082 	6215295 	6303668 	6376600 	6443167 	6509739 	6575882 	6630264 	6666640 	6690956 	6711556 	6731629 
A,BSL,T,TOTAL,PER,PL	37654247 	38482931 	38381332 	37420524 	36517358 	35844414 	35216016 	34623544 	34018603 	33376446 	32667496 	31920633 	31223065 	30610714 	30141798 	29816164 	29625311 	29516003 
A,BSL,T,TOTAL,PER,PT	10352042 	10392897 	10372141 	10249138 	10120798 	9988936 	9832722 	9650059 	9455780 	9270463 	9104871 	8967921 	8869895 	8821390 	8818359 	8847235 	8900638 	8981056 
A,BSL,T,TOTAL,PER,RO	19042455 	19030292 	18831698 	18218553 	17683694 	17232578 	16828669 	16439020 	16069750 	15689153 	15336213 	15039871 	14827444 	14681481 	14604453 	14574108 	14583704 	14609506 
A,BSL,T,TOTAL,PER,SE	10452326 	10561077 	10705814 	11020442 	11302547 	11581390 	11862065 	12130240 	12365036 	12563488 	12732058 	12884585 	13020332 	13127074 	13194563 	13233792 	13263550 	13278186 
A,BSL,T,TOTAL,PER,SI	2107180 	2116709 	2120770 	2118806 	2113672 	2109858 	2105158 	2094023 	2074845 	2049857 	2024543 	2002145 	1985383 	1974016 	1966177 	1960489 	1955930 	1950820 
A,BSL,T,TOTAL,PER,SK	5434712 	5523904 	5521368 	5450183 	5368574 	5301530 	5240579 	5179658 	5111829 	5029491 	4930199 	4826694 	4734565 	4660973 	4609553 	4577330 	4560138 	4552382 
A,HMIGR,F,TOTAL,PER,AT	4553444 	4619179 	4662558 	4738657 	4817005 	4895932 	4964040 	5017072 	5052128 	5075168 	5095931 	5122561 	5152041 	5177778 	5199367 	5218865 	5239414 	5260757 
A,HMIGR,F,TOTAL,PER,BE	5883978 	5947528 	6015593 	6146580 	6280876 	6415526 	6531621 	6622328 	6690279 	6745586 	6798647 	6853226 	6904984 	6943331 	6962854 	6966545 	6960749 	6947335 
A,HMIGR,F,TOTAL,PER,BG	3527626 	3605059 	3575607 	3430896 	3312951 	3230415 	3160132 	3095845 	3036081 	2974648 	2912239 	2856661 	2813590 	2784138 	2769370 	2770220 	2784942 	2805331 
A,HMIGR,F,TOTAL,PER,CH	4400588 	4456498 	4520928 	4666174 	4805179 	4936502 	5055423 	5160005 	5245346 	5312241 	5368532 	5421688 	5470789 	5512538 	5547369 	5578378 	5609898 	5641393 
A,HMIGR,F,TOTAL,PER,CY	463622 	476907 	490255 	508055 	522618 	535734 	546385 	555485 	563885 	571683 	578258 	582650 	584865 	585591 	585719 	586719 	589337 	593612 
A,HMIGR,F,TOTAL,PER,CZ	5332932 	5608669 	5652152 	5551617 	5488502 	5492969 	5513120 	5535992 	5557668 	5566862 	5560929 	5550906 	5553677 	5576267 	5615108 	5664348 	5721701 	5778250 
A,HMIGR,F,TOTAL,PER,DE	42170339 	42921064 	43384999 	43596648 	43791125 	44073355 	44309206 	44475359 	44596950 	44699683 	44870129 	45137300 	45428722 	45675967 	45899645 	46117076 	46341256 	46558748 
A,HMIGR,F,TOTAL,PER,DK	2950505 	2981828 	3019530 	3082431 	3134630 	3176189 	3207306 	3234366 	3260841 	3289616 	3318949 	3346299 	3371204 	3392002 	3406274 	3414561 	3421678 	3430668 
A,HMIGR,F,TOTAL,PER,EA20	177096882 	178934451 	180554093 	182302370 	183969895 	185688266 	186864490 	187322721 	187141231 	186584693 	186037620 	185790503 	185814713 	185949512 	186090899 	186200305 	186279575 	186296011 
A,HMIGR,F,TOTAL,PER,EE	698381 	722603 	725555 	711068 	701140 	699059 	697880 	696653 	695146 	692677 	690081 	688007 	686918 	686104 	685850 	687110 	690343 	693880 
A,HMIGR,F,TOTAL,PER,EL	5345035 	5326386 	5286339 	5169870 	5065766 	4967955 	4866447 	4749859 	4615870 	4475886 	4341558 	4225299 	4137859 	4081169 	4053830 	4049716 	4058841 	4074474 
A,HMIGR,F,TOTAL,PER,ES	24195741 	24518040 	25085362 	25857480 	26513745 	27161082 	27698046 	28033437 	28148249 	28094622 	27953494 	27804159 	27691769 	27629433 	27596726 	27537541 	27429481 	27273898 
A,HMIGR,F,TOTAL,PER,EU27_2020	228390297 	231230641 	232882407 	233792948 	234778845 	236094800 	236920205 	237049680 	236554171 	235649062 	234704079 	234054631 	233756571 	233665038 	233705611 	233837695 	234072830 	234317150 
